sampleid,beta_muricholic_acid,chenodeoxycholic_acid,chenodeoxycholic_acid_3_sulfate,cholic_acid,cholic_acid_3_sulfate,deoxycholic_acid,deoxycholic_acid_3_sulfate,glycochenodeoxycholic_acid,glycochenodeoxycholic_acid_3_sulfate,glycocholic_acid,glycocholic_acid_3_sulfate,glycodeoxycholic_acid,glycodeoxycholic_acid_3_sulfate,glycolithocholic_acid,glycolithocholic_acid_3_sulfate,glycoursodeoxycholic_acid,glycoursodeoxycholic_acid_3_sulfate,lithocholic_acid,lithocholic_acid_3_sulfate,omega_muricholic_acid,taurochenodeoxycholic_acid,taurocholic_acid,taurodeoxycholic_acid,taurolithocholic_acid,tauroursodeoxycholic_acid,ursodeoxycholic_acid,ursodeoxycholic_acid_3_sulfate
FMT.0172L,0,1493.6569,3813.1391,11308.0512,120.1842,26.0002,576.1585,11.5443283,16.0916,27.9698959,0,0,0,0,0,22.322048,42.0584825,0,65.2997,45.9502,8.3846481,10.27690735,0,0,48.121239,1144.3352,14542.1322
689F,0,670.4777,2612.0207,2011.3137,46.7178,0,0,29496.2587,4887.3953,52083.6537,355.0592,63.0891,143.436,0,159.4796,46387.871400000004,20380.9309,0,225.4116,28.2553,43.7468721,14729.085,0,0,38.0079846,7591.7796,13505.5218
1191T,0,29662.843,3279.4317,25828.7043,171.181,16746.6828,2121.6661,233.7024468,79.8923,44.9722681,7.6109,53.0383,18.6801,0,67.3295,80.9160004,89.1034799,15621.568,596.8604,98.8781,1029.3013,399.0114047,221.9114,25.8664,286.9824563,33718.4797,12881.8172
759B,0,10063.1812,1300.7396,15113.3277,10.4125,6.6822,0,33474.9814,2249.9965,44771.3915,66.5592,41.2424,40.2259,0,96.5907,115113.0598,32077.5362,17.5198,110.201,93.1962,5708.2538,17486.2984,31.4988,0,9037.1271,159913.3747,12659.644
928B,16.8472,16270.67,1926.7297,12210.3746,12.2676,41.6548,9.9941,34907.299,222.9394,77051.5448,59.2842,91.2117,32.9834,0,14.2378,82949.0548,5337.5784,0,130.8063,133.527,644.738,7644.448,23.7841,0,1066.753,35019.6758,12410.7695
1705W,5.1447,2903.1886,1227.0377,10879.9777,23.4329,0,0,138.4614714,211.5373,156.0759474,8.6875,0,0,0,0,1587.1651,4919.0538,5.7008,47.1896,116.5231,117.1847017,97.3729478,0,0,3201.3737,45896.2192,12401.2341
563D,5.2821,6820.0274,745.7725,37782.2506,65.3614,17.3431,27.242,204.3218341,1155.4476,305.25059,221.3839,0,8.8832,0,67.0007,3273.8338,9707.9976,0,114.3481,169.0882,3460.0374,5537.4999,5.8911,0,10220.0153,47537.8222,11803.9859
449C,7.6037,9445.7726,1496.0798,9188.7322,0,1385.185,169.9395,462.2158716,8.2098,7171.0999,18.8486,337.5512,222.1109,0,0,3621.8208,139.4056741,15.3696,420.5693,55.3189,23.877331,5217.0892,153.6398,0,96.8642353,63704.201,11711.739
FMT.0147H,0,85.7015425,1279.7758,24.0522,13.149,0,9.5974,144.1686838,267.6292,837.8662,222.7874,0,16.4327,0,0,827.3979,9505.1961,0,45.6898,6.1242,0,192.0512484,0,0,9.9826391,4301.0384,11556.4612
2035D,9.2215,11501.6662,998.1775,23718.4257,16.0672,406.495,115.0769,11138.7466,1542.8036,15699.2568,55.49,311.1983,288.3012,0,44.1726,82471.7492,18841.833,0,273.8688,307.1514,50.8143343,8167.3921,21.0089,0,135.8071692,39349.1107,10822.3922
755D,0,2572.9413,1349.1938,5789.5319,26.2914,44.2247,61.8798,196.9084371,28.87,271.8683456,31.22,0,8.9097,0,0,1847.6232,1017.9039,0,63.4714,0,23.3303127,201.3563732,0,0,87.0883741,27438.264,10458.9114
FMT.0191O,9.282,15232.2472,2379.5337,29777.1477,90.2883,210.7922,17.4537,93.0899158,19.4693,49.69114435,5.464,0,0,0,0,131.9762616,22.5868376,43.9272,134.1335,142.3117,14.2505919,16.4847477,0,0,14.2826229,36573.3707,10275.416
1839K,0,1172.3748,730.6057,7312.3027,15.8783,10.588,13.2952,5.1132153,326.2841,228.1791215,52.0166,0,0,0,0,1468.0035,7058.2082,0,19.618,107.3838,0,381.3339648,0,0,57.4358538,19468.8343,9734.0784
1460O,46.4369,15901.0679,111.5961,41628.0466,0,47.36,0,242.2458263,0,532.4683,0,0,0,0,15.1723,1973.714,96.2627643,28.5067,0,257.2322,53.6640256,688.6831,0,0,324.8801119,165999.3048,9624.5548
1789J,0,2299.9867,1277.3865,16754.2962,51.4759,0,31.1836,107.5946203,4291.2582,38.7730143,403.044,0,0,0,49.9705,83.8788679,24317.7238,0,34.1527,158.2719,718.9856,546.1246,0,0,3876.2427,7198.5634,9516.5216
2260D,9.8528,4099.6284,215.7675,41842.0214,25.2502,35.315,8.6353,183.3415291,1508.435,261.1150964,438.4921,0,26.7108,0,44.4902,10456.9043,44420.8391,0,24.8963,351.1611,1104.7427,4708.9629,0,0,7114.707,92084.746,9503.3912
2182F,8.7187,3770.1549,436.8026,2900.2255,37.9807,11589.1331,250.6302,627.9428,31.3366,587.1113,0,153.1557,11.8462,8.8327,104.4869,1319.2317,94.5444791,19131.8613,1350.7199,79.068,92.743981,78.63367115,17.0394,0,138.6646903,19260.3419,9232.0061
1846E,0,2093.4789,812.5973,16147.8477,20.8276,0,6.2103,917.0559,2948.9107,2035.6691,98.0531,0,60.6424,0,96.2483,31782.4445,70143.456,0,31.2457,247.8936,2504.8237,1696.3973,0,0,8962.3259,16967.5329,8632.3734
1195DD,0,2482.673,1108.6389,15263.4196,21.8337,0,7.6619,173.8290339,1603.2569,177.9840739,82.2611,0,5.0585,0,43.224,779.4697,11106.4119,0,68.481,78.7903,7830.9788,5133.3038,0,0,15995.343,3164.23,8594.4209
